id;spam;GoodWordInSubject;GoodWordInText;BadWordInSubject;BadWordInText;AverageSentenceLength;MaximumSentenceLength;BiggerThanAverageSubjectLength;BiggerThanAverageTextLength
1;true;false;false;false;false;0;0;false;false
2;true;false;false;false;false;0;0;false;false
3;true;false;false;false;false;0;0;false;false
4;true;false;false;false;false;0;0;false;false
5;true;false;false;false;false;0;0;false;false
6;true;false;false;false;false;0;0;false;false
7;true;false;false;false;false;0;0;false;false
8;true;false;false;false;false;0;0;false;false
9;true;false;false;false;false;0;0;false;false
10;true;false;false;false;false;0;0;false;false
11;true;false;false;false;false;0;0;false;false
12;true;false;false;false;false;0;0;false;false
13;true;false;false;false;false;0;0;false;false
14;true;false;false;false;false;0;0;false;false
15;true;false;false;false;false;0;0;false;false
16;true;false;false;false;false;0;0;false;false
17;true;false;false;false;false;0;0;false;false
18;true;false;false;false;false;0;0;false;false
19;true;false;false;false;false;0;0;false;false
20;true;false;false;false;false;0;0;false;false
21;true;false;false;false;false;0;0;false;false
22;true;false;false;false;false;0;0;false;false
23;true;false;false;false;false;0;0;false;false
24;true;false;false;false;false;0;0;false;false
25;true;false;false;false;false;0;0;false;false
26;true;false;false;false;false;0;0;false;false
27;true;false;false;false;false;0;0;false;false
28;true;false;false;false;false;0;0;false;false
29;true;false;false;false;false;0;0;false;false
30;true;false;false;false;false;0;0;false;false
31;true;false;false;false;false;0;0;false;false
32;true;false;false;false;false;0;0;false;false
33;true;false;false;false;false;0;0;false;false
34;true;false;false;false;false;0;0;false;false
35;false;false;false;false;false;0;0;false;false
36;true;false;false;false;false;0;0;false;false
37;true;false;false;false;false;0;0;false;false
38;true;false;false;false;false;0;0;false;false
39;true;false;false;false;false;0;0;false;false
40;true;false;false;false;false;0;0;false;false
41;true;false;false;false;false;0;0;false;false
42;false;false;false;false;false;0;0;false;false
43;true;false;false;false;false;0;0;false;false
44;true;false;false;false;false;0;0;false;false
45;true;false;false;false;false;0;0;false;false
46;true;false;false;false;false;0;0;false;false
47;true;false;false;false;false;0;0;false;false
48;true;false;false;false;false;0;0;false;false
49;true;false;false;false;false;0;0;false;false
50;true;false;false;false;false;0;0;false;false
51;true;false;false;false;false;0;0;false;false
52;true;false;false;false;false;0;0;false;false
53;false;false;false;false;false;0;0;false;false
54;true;false;false;false;false;0;0;false;false
55;true;false;false;false;false;0;0;false;false
56;true;false;false;false;false;0;0;false;false
57;true;false;false;false;false;0;0;false;false
58;true;false;false;false;false;0;0;false;false
59;true;false;false;false;false;0;0;false;false
60;true;false;false;false;false;0;0;false;false
61;true;false;false;false;false;0;0;false;false
62;true;false;false;false;false;0;0;false;false
63;true;false;false;false;false;0;0;false;false
64;true;false;false;false;false;0;0;false;false
65;true;false;false;false;false;0;0;false;false
66;true;false;false;false;false;0;0;false;false
67;true;false;false;false;false;0;0;false;false
68;true;false;false;false;false;0;0;false;false
69;true;false;false;false;false;0;0;false;false
70;true;false;false;false;false;0;0;false;false
71;true;false;false;false;false;0;0;false;false
72;true;false;false;false;false;0;0;false;false
73;true;false;false;false;false;0;0;false;false
74;true;false;false;false;false;0;0;false;false
75;true;false;false;false;false;0;0;false;false
76;true;false;false;false;false;0;0;false;false
77;true;false;false;false;false;0;0;false;false
78;true;false;false;false;false;0;0;false;false
79;true;false;false;false;false;0;0;false;false
80;true;false;false;false;false;0;0;false;false
81;true;false;false;false;false;0;0;false;false
82;true;false;false;false;false;0;0;false;false
83;true;false;false;false;false;0;0;false;false
84;true;false;false;false;false;0;0;false;false
85;true;false;false;false;false;0;0;false;false
86;true;false;false;false;false;0;0;false;false
87;true;false;false;false;false;0;0;false;false
88;true;false;false;false;false;0;0;false;false
89;true;false;false;false;false;0;0;false;false
90;true;false;false;false;false;0;0;false;false
91;true;false;false;false;false;0;0;false;false
92;true;false;false;false;false;0;0;false;false
93;true;false;false;false;false;0;0;false;false
94;true;false;false;false;false;0;0;false;false
95;true;false;false;false;false;0;0;false;false
96;true;false;false;false;false;0;0;false;false
97;true;false;false;false;false;0;0;false;false
98;true;false;false;false;false;0;0;false;false
99;true;false;false;false;false;0;0;false;false
100;true;false;false;false;false;0;0;false;false
101;true;false;false;false;false;0;0;false;false
102;true;false;false;false;false;0;0;false;false
103;true;false;false;false;false;0;0;false;false
104;true;false;false;false;false;0;0;false;false
105;true;false;false;false;false;0;0;false;false
106;true;false;false;false;false;0;0;false;false
107;true;false;false;false;false;0;0;false;false
108;true;false;false;false;false;0;0;false;false
109;true;false;false;false;false;0;0;false;false
110;true;false;false;false;false;0;0;false;false
