@relation BikeSharingGruppeF

@attribute 0day numeric
@attribute 1month numeric
@attribute 2year numeric
@attribute 3season numeric
@attribute 4holiday numeric
@attribute 5weekday numeric
@attribute 6workingDay numeric
@attribute 7weatherSit numeric
@attribute 8temp numeric
@attribute 9atemp numeric
@attribute 10hum numeric
@attribute 11windSpeed numeric
@attribute 12casual numeric

@data
1,1,2011,1,0,6,0,2,14.11,18.18,80.58,10.75,331
2,1,2011,1,0,0,0,2,14.9,17.69,69.61,16.65,131
3,1,2011,1,0,1,1,1,8.05,9.47,43.73,16.64,120
4,1,2011,1,0,2,1,1,8.2,10.61,59.04,10.74,108
5,1,2011,1,0,3,1,1,9.31,11.46,43.7,12.52,82
6,1,2011,1,0,4,1,1,8.38,11.66,51.83,6.0,88
7,1,2011,1,0,5,1,2,8.06,10.44,49.87,11.3,148
8,1,2011,1,0,6,0,2,6.77,8.11,53.58,17.88,68
9,1,2011,1,0,0,0,1,5.67,5.81,43.42,24.25,54
10,1,2011,1,0,1,1,1,6.18,7.54,48.29,14.96,41
11,1,2011,1,0,2,1,2,6.93,9.57,68.64,8.18,43
12,1,2011,1,0,3,1,1,7.08,8.02,59.95,20.41,25
13,1,2011,1,0,4,1,1,6.77,7.54,47.04,20.17,38
14,1,2011,1,0,5,1,1,6.6,9.42,53.78,8.48,54
15,1,2011,1,0,6,0,2,9.57,12.41,49.88,10.58,222
16,1,2011,1,0,0,0,1,9.5,11.71,48.38,12.63,251
17,1,2011,1,1,1,0,2,7.21,8.84,53.75,13.0,117
18,1,2011,1,0,2,1,2,8.88,11.62,86.17,9.83,9
19,1,2011,1,0,3,1,2,11.98,14.92,74.17,13.96,78
20,1,2011,1,0,4,1,2,10.73,12.75,53.83,13.13,83
21,1,2011,1,0,5,1,1,7.28,7.89,45.71,23.67,75
22,1,2011,1,0,6,0,1,2.42,3.95,40.0,11.52,93
23,1,2011,1,0,0,0,1,3.96,4.94,43.65,16.52,150
24,1,2011,1,0,1,1,1,3.99,5.9,49.17,10.61,86
25,1,2011,1,0,2,1,2,9.16,11.73,61.7,8.7,186
26,1,2011,1,0,3,1,3,8.92,10.18,86.25,19.69,34
27,1,2011,1,0,4,1,1,8.0,10.99,68.75,7.63,15
28,1,2011,1,0,5,1,2,8.34,11.17,79.3,8.26,38
29,1,2011,1,0,6,0,1,8.06,10.61,65.17,9.74,123
30,1,2011,1,0,0,0,1,8.88,12.52,72.22,4.96,140
